iter	Passed	Remaining
831	1976	399
832	1978	396
833	1981	394
834	1983	391
835	1985	389
836	1987	387
837	1990	384
838	1992	382
839	1994	379
840	1996	377
841	1999	375
842	2001	372
843	2003	370
844	2005	367
845	2008	365
846	2010	363
847	2012	360
848	2014	358
849	2017	355
850	2019	353
851	2021	351
852	2023	348
853	2026	346
854	2028	344
855	2030	341
856	2032	339
857	2034	336
858	2037	334
859	2039	331
860	2041	329
861	2043	327
862	2046	324
863	2048	322
864	2051	320
865	2053	317
866	2056	315
867	2058	313
868	2060	310
869	2063	308
870	2065	305
871	2067	303
872	2069	301
873	2071	298
874	2074	296
875	2076	293
876	2078	291
877	2080	289
878	2082	286
879	2084	284
880	2087	281
881	2089	279
882	2091	277
883	2093	274
884	2096	272
885	2098	269
886	2100	267
887	2102	265
888	2105	262
889	2107	260
890	2109	258
891	2111	255
892	2113	253
893	2116	250
894	2118	248
895	2120	246
896	2122	243
897	2125	241
898	2127	238
899	2129	236
900	2131	234
901	2134	231
902	2136	229
903	2138	227
904	2140	224
905	2142	222
906	2144	219
907	2147	217
908	2149	215
909	2151	212
910	2154	210
911	2156	208
912	2158	205
913	2161	203
914	2163	200
915	2165	198
916	2168	196
917	2171	193
918	2173	191
919	2175	189
920	2177	186
921	2179	184
922	2182	182
923	2184	179
924	2187	177
925	2189	174
926	2191	172
927	2193	170
928	2195	167
929	2198	165
930	2200	163
931	2203	160
932	2205	158
933	2207	155
934	2209	153
935	2211	151
936	2214	148
937	2216	146
938	2218	144
939	2220	141
940	2223	139
941	2225	137
942	2227	134
943	2230	132
944	2232	129
945	2234	127
946	2236	125
947	2239	122
948	2241	120
949	2243	118
950	2245	115
951	2248	113
952	2250	110
953	2253	108
954	2255	106
955	2257	103
956	2260	101
957	2262	99
958	2264	96
959	2266	94
960	2269	92
961	2271	89
962	2273	87
963	2276	84
964	2278	82
965	2280	80
966	2282	77
967	2285	75
968	2287	73
969	2289	70
970	2292	68
971	2294	66
972	2296	63
973	2298	61
974	2301	59
975	2303	56
976	2305	54
977	2307	51
978	2310	49
979	2312	47
980	2314	44
981	2317	42
982	2319	40
983	2321	37
984	2324	35
985	2326	33
986	2328	30
987	2331	28
988	2333	25
989	2335	23
990	2337	21
991	2340	18
992	2342	16
993	2345	14
994	2347	11
995	2349	9
996	2351	7
997	2354	4
998	2356	2
999	2359	0
